Cluster_Index,StartRT,EndRT,StartScan,EndScan,Identified,Charge,mz1,mz2,mz3,mz4,PeakIdx1,PeakIdx2,PeakIdx3,PeakIdx4,Corr2,Corr3,Corr4,SNR1,SNR2,SNR3,SNR4,PeakHeight1,PeakHeight2,PeakHeight3,PeakHeight4,PeakHeightRT1,PeakHeightRT2,PeakHeightRT3,PeakHeightRT4,PeakArea1,PeakArea2,PeakArea3,PeakArea4,IsoMapProb,ConflictCorr,LeftInt,RightInt,NoRidges,MS1Score,MS1Prob,MS1LProb
1,23.015167,23.317999,13300,13475,0,4,586.0299,586.2686,0.0,0.0,1528,195880,0,0,0.7328153,0.0,0.0,2.1250107,3.1183877,-1.0,-1.0,0.9081369,0.5167591,0.0,0.0,23.171114,23.26849,0.0,0.0,17.329025,9.077108,0.0,0.0,0.62195003,0.0,0.561391,0.62376577,1,0.0,0.0,0.0
2,24.831835,25.316334,14350,14630,0,4,586.0299,586.26794,0.0,0.0,1534,209280,0,0,0.27160466,0.0,0.0,4.021051,2.3735375,-1.0,-1.0,0.6688645,0.336607,0.0,0.0,25.053345,24.950481,0.0,0.0,19.171976,6.254147,0.0,0.0,0.5811621,0.0,0.36656255,0.17167838,2,0.0,0.0,0.0
3,9.810451,10.722433,5670,6195,0,4,587.03656,587.29144,0.0,0.0,1562,100669,0,0,0.9375588,0.0,0.0,3.3043694,3.6249955,-1.0,-1.0,31.770935,0.6351279,0.0,0.0,10.397688,10.408479,0.0,0.0,1549.4391,8.5903635,0.0,0.0,0.32600546,0.0,9.79993,9.614151,2,0.0,0.0,0.0
4,0.00415,0.24638334,1,140,0,4,415.7604,416.02295,0.0,0.0,1918,2006,0,0,0.988029,0.0,0.0,2.7810738,2.7575536,-1.0,-1.0,1.5838553,1.5077724,0.0,0.0,0.09578318,0.0829812,0.0,0.0,21.842363,24.16129,0.0,0.0,1.0,0.0,0.5899656,0.8434876,1,0.0,0.0,0.0
5,9.761998,10.783,5640,6230,0,4,415.95966,416.22882,0.0,0.0,1957,94622,0,0,0.54311013,0.0,0.0,1.5267708,3.611076,-1.0,-1.0,10.304432,0.70679,0.0,0.0,10.352858,9.981864,0.0,0.0,660.2578,15.651983,0.0,0.0,0.36085653,0.0,6.6823807,6.740364,3,0.0,0.0,0.0
6,19.793081,20.956333,11440,12110,0,4,415.95993,416.2182,0.0,0.0,1980,171822,0,0,0.2972854,0.0,0.0,2.7727249,3.8850715,-1.0,-1.0,1.3348782,1.7947173,0.0,0.0,20.293179,20.59249,0.0,0.0,55.576065,90.1935,0.0,0.0,0.7823342,0.0,0.631015,0.93788356,4,0.0,0.0,0.0
7,25.635414,25.861334,14815,14945,0,4,415.96155,416.22162,0.0,0.0,1995,215304,0,0,0.90255904,0.0,0.0,1.9509617,2.0995138,-1.0,-1.0,1.1128647,0.28653073,0.0,0.0,25.745117,25.744986,0.0,0.0,19.077383,2.950396,0.0,0.0,0.49892503,0.0,0.7986698,0.63852817,1,0.0,0.0,0.0
8,28.904123,29.3735,16704,16975,0,4,415.96072,416.20563,0.0,0.0,2005,243033,0,0,0.35273895,0.0,0.0,3.8457408,3.8153584,-1.0,-1.0,1.0007991,0.58305275,0.0,0.0,29.087074,29.27338,0.0,0.0,25.20585,5.7123313,0.0,0.0,0.78924704,0.0,0.4409836,0.2788791,2,0.0,0.0,0.0
9,9.698872,10.6013,5604,6125,0,3,422.90536,423.2233,0.0,0.0,2112,97333,0,0,0.27972302,0.0,0.0,1.3792565,4.7515106,-1.0,-1.0,4.154837,0.8382952,0.0,0.0,10.418776,10.471668,0.0,0.0,275.16672,29.394258,0.0,0.0,0.5092313,0.0,2.9579182,3.1505578,5,0.0,0.0,0.0
10,27.195091,27.496334,15716,15890,0,2,453.7834,454.27872,0.0,0.0,2750,226605,0,0,0.3210937,0.0,0.0,1.8848988,2.5500958,-1.0,-1.0,2.8859763,0.6753899,0.0,0.0,27.37803,27.360842,0.0,0.0,57.139015,9.310229,0.0,0.0,0.66343963,0.0,1.8846307,1.8197049,1,0.0,0.0,0.0
